country_or_authority,register_page,link_text,feed_url
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,https://cap-sources.s3.amazonaws.com/al-igewe-en/rss.xml,https://cap-sources.s3.amazonaws.com/al-igewe-en/rss.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,https://www.geo.edu.al/MonitoringForecast/Hydrologic_Meteorological_Forecast/Bulletin_on_Natural_Hazards/,https://www.geo.edu.al/MonitoringForecast/Hydrologic_Meteorological_Forecast/Bulletin_on_Natural_Hazards/
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=1,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,https://ametvigilance.meteo.dz/rss/rss_meteo_dz.xml,https://ametvigilance.meteo.dz/rss/rss_meteo_dz.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,http://www.worldweather.org/122/m122.htm,http://www.worldweather.org/122/m122.htm
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=2,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,http://www.ina.gov.ar/alerta/index.php,http://www.ina.gov.ar/alerta/index.php
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=3,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,https://ssl.smn.gob.ar/CAP/AR.php,https://ssl.smn.gob.ar/CAP/AR.php
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,http://www.smn.gob.ar,http://www.smn.gob.ar
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=4,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,http://www.worldweather.org/018/m018.htm,http://www.worldweather.org/018/m018.htm
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=5,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
